^{\mu \nu }\,,\ \ [\hat{a}_{n}^{\mu },\hat{a}_{m}^{\dagger \nu }]=\delta
_{n,m}\eta ^{\mu \nu }\,,  \notag \\
&&x_{n}^{\mu }={\frac{i}{\sqrt{2\kappa _{n}}}}l_{s}(\hat{a}_{n}^{\mu }-\hat{a%
}_{n}^{\dagger \mu })\,,\ p_{n\mu }=\sqrt{\frac{\kappa _{n}}{2}}{\frac{\eta
_{\mu \nu }}{l_{s}}}(\hat{a}_{n}^{\nu }+\hat{a}_{n}^{\dagger \nu })\,,\ \ [%
\hat{x}_{n}^{\mu },\hat{p}_{m\nu }]=i\delta _{n,m}\delta _{\nu }^{\mu }\,, 
\notag \\
&&\alpha _{n}={\frac{1}{\sqrt{2}}}\left( l_{s}\hat{p}_{|n|}-i\epsilon (n){%
\frac{\kappa _{|n|}}{l_{s}}}\hat{x}_{|n|}\right) \,,  \label{eq:xmu_alpha}
\end{eqnarray}
where we define the symbols $l_{s}^{2}=2\alpha ^{\prime },\kappa _{n}=n$.

Zero mode in matter sector, with $a_{0}^{\mu }:=l_{s}\hat{p}_{0}^{\mu }\,$ 
\begin{eqnarray}
\hat{x}_{0}^{\mu }={\frac{i}{2}}l_{s}\sqrt{b}(\hat{a}_{0}^{\mu }-\hat{a}%
_{0}^{\dagger \mu })\,,\ \hat{p}_{0\mu }=\frac{1}{l_{s}\sqrt{b}}\eta _{\mu
\nu }(\hat{a}_{0}^{\nu }+\hat{a}_{0}^{\dagger \nu })\,,\ \ [\hat{x}_{0}^{\mu
},\hat{p}_{0\nu }]=i\delta _{\nu }^{\mu }\,,\ [\hat{a}_{0}^{\mu },\hat{a}%
_{0}^{\dagger \nu }]=\eta ^{\mu \nu }\quad  \label{eq:xmu0_a}
\end{eqnarray}
where $b$ is some positive constant.

\item  Position eigenstates 
\begin{eqnarray}
&&\langle x_{0},x_{n}|\hat{x}_{n}=\langle x_{0},x_{n}|x_{n}\,,\qquad \langle
x_{0},x_{n}|\hat{x}_{0}=\langle x_{0},x_{n}|x_{0}\,,  \notag \\
&&\hat{x}_{n}|x_{0},x_{n}\rangle =x_{n}|x_{0},x_{n}\rangle \,,\qquad \hat{x}%
_{0}|x_{0},x_{n}\rangle =x_{0}|x_{0},x_{n}\rangle ,
\end{eqnarray}
are given as squeezed states in Fock space 
\begin{eqnarray}
\langle x_{0},x_{n}| &=&\langle x_{0}|e^{\sum_{n>0}\left( {\frac{1}{2\kappa
_{n}}}\alpha _{n}^{2}+{\frac{i\sqrt{2}}{l_{s}}}x_{n}\alpha _{n}-{\frac{%
\kappa _{n}}{2l_{s}^{2}}}x_{n}^{2}\right) }\prod_{n>0}\left( \frac{\kappa
_{n}}{\pi l_{s}^{2}}\right) ^{\frac{d}{4}}  \notag \\
&=&\langle x_{0}|e^{\sum_{n>0}\left( {\frac{1}{2}}\hat{a}_{n}^{2}+{\frac{i%
\sqrt{2\kappa _{n}}}{l_{s}}}x_{n}\hat{a}_{n}-{\frac{\kappa _{n}}{2l_{s}^{2}}}%
x_{n}^{2}\right) }\prod_{n>0}\left( \frac{\kappa _{n}}{\pi l_{s}^{2}}\right)
^{\frac{d}{4}}\,,  \notag \\
\langle x_{0}| &=&\langle 0|e^{{\frac{1}{2}}\hat{a}_{0}^{2}+i{\frac{2}{l_{s}%
\sqrt{b}}}x_{0}\hat{a}_{0}-{\frac{1}{l_{s}^{2}b}}x_{0}^{2}}\left( \frac{2}{%
\pi l_{s}^{2}b}\right) ^{\frac{d}{4}}\,,  \notag \\
|x_{0},x_{n}\rangle &=&\prod_{n>0}\left( \frac{\kappa _{n}}{\pi l_{s}^{2}}%
\right) ^{\frac{d}{4}}e^{\sum_{n>0}\left( {\frac{1}{2\kappa _{n}}}\alpha
_{-n}^{2}-{\frac{i\sqrt{2}}{l_{s}}}x_{n}\alpha _{-n}-{\frac{\kappa _{n}}{%
2l_{s}^{2}}}x_{n}^{2}\right) }|x_{0}\rangle  \notag \\
&=&\prod_{n>0}\left( \frac{\kappa _{n}}{\pi l_{s}^{2}}\right) ^{\frac{d}{4}%
}e^{\sum_{n>0}\left( {\frac{1}{2}}\hat{a}_{n}^{\dagger 2}-{\frac{i\sqrt{%
2\kappa _{n}}}{l_{s}}}x_{n}\hat{a}_{n}^{\dagger }-{\frac{\kappa _{n}}{%
2l_{s}^{2}}}x_{n}^{2}\right) }|x_{0}\rangle \,,  \notag \\
|x_{0}\rangle &=&\left( \frac{2}{\pi l_{s}^{2}b}\right) ^{\frac{d}{4}}e^{{%
\frac{1}{2}}\hat{a}_{0}^{\dagger 2}-i{\frac{2}{l_{s}\sqrt{b}}}x_{0}\hat{a}%
_{0}^{\dagger }-{\frac{1}{l_{s}^{2}b}}x_{0}^{2}}|0\rangle \,.
\label{eq:matter_basis}
\end{eqnarray}
They satisfy normalization and completeness conditions 
\begin{eqnarray}
&&\langle x_{0},x_{n}|x_{0}^{\prime },x_{n}^{\prime }\rangle =\delta
^{d}(x_{0}-x_{0}^{\prime })\prod_{n>0}\delta ^{d}(x_{n}-x_{n}^{\prime })\,, 
\notag \\
&&\int d^{d}x_{0}\prod_{n>0}d^{d}x_{n}|x_{0},x_{n}\rangle \langle
x_{0},x_{n}|=1\,.
\end{eqnarray}

\item  Oscillators as differential operators in position space 
\begin{eqnarray}
&&\langle x_{0},x_{n}|\alpha _{n}|\Psi \rangle =-{\frac{i}{\sqrt{2}}}\left(
\epsilon (n){\frac{\kappa _{|n|}}{l_{s}}}x_{n}+l_{s}{\frac{\partial }{%
\partial x_{|n|}}}\right) \langle x_{0},x_{n}|\Psi \rangle \,,  \notag \\
&&\langle x_{0},x_{n}|\alpha _{0}|\Psi \rangle =-il_{s}{\frac{\partial }{%
\partial x_{0}}}\langle x_{0},x_{n}|\Psi \rangle \,.
\end{eqnarray}

\item  Transformation from position space to Moyal space 
\begin{eqnarray}
A(\bar{x},x_{e},p_{e}) &=&(\det (2T))^{d/2}\int dx_{o}e^{-{\frac{2i}{\theta }%
}p_{e}Tx_{o}}\Psi (x_{0},x_{n})  \notag \\
&=&2^{{\frac{Nd}{2}}}(1+\bar{w}w)^{-{\frac{d}{4}}}\int dx_{o}e^{-{\frac{2i}{%
\theta }}p_{e}Tx_{o}}\langle x_{0},x_{n}|\Psi \rangle =:\langle \bar{x}%
,x_{e},p_{e}|\Psi \rangle \,,  \label{eq:MSFTfield_matter}
\end{eqnarray}
where the midpoint $\bar{x}^{\mu }:=X^{\mu }\left( \pi /2\right) $ is
related to the center of mass $x_{0}$ through Eq.(\ref{position}) 
\begin{equation}
\bar{x}^{\mu }:=X^{\mu }\left( \pi /2\right) =x_{0}^{\mu
}-\sum_{e}x_{e}^{\mu }w_{e},\quad \langle \bar{x}|=\langle x_{0}|\exp
\left( i\hat{p}\cdot \sum_{e}x_{e}w_{e}\right)\,.  \label{midpoint}
\end{equation}
The Moyal space $\langle \bar{x},x_{e},p_{e}|$ is given by a squeezed state 
\begin{eqnarray}
&&\langle \bar{x},x_{e},p_{e}|=\langle \bar{x}|e^{{\frac{\alpha _{e}^{2}}{%
2\kappa _{e}}}-{\frac{\alpha _{o}^{2}}{2\kappa _{o}}}-\bar{\xi}M_{0}\xi -%
\bar{\xi}\lambda }{\det }(4{\kappa _{e}}^{1/2}T\kappa _{o}^{-1/2})^{\frac{d}{%
2}}  \notag \\
&&\qquad \qquad \quad =\langle \bar{x}|e^{{\frac{\alpha _{e}^{2}}{2\kappa
_{e}}}-{\frac{\alpha _{o}^{2}}{2\kappa _{o}}}-\bar{\xi}M_{0}\xi -\bar{\xi}%
\lambda }\,2^{Nd}(1+\bar{w}w)^{-{\frac{d}{8}}}\,,  \notag \\
&&M_{0}=\left( 
\begin{array}{cc}
{\frac{\kappa _{e}}{2l_{s}^{2}}} & 0 \\ 
0 & {\frac{2l_{s}^{2}}{\theta ^{2}}}T\kappa _{o}^{-1}\bar{T}
\end{array}
\right) \,,~~~~\lambda =\left( 
\begin{array}{c}
-i{\frac{\sqrt{2}}{l_{s}}}\alpha _{e}-i\hat{p}w_{e} \\ 
-{\frac{2\sqrt{2}l_{s}}{\theta }}T\kappa _{o}^{-1}\alpha _{o}
\end{array}
\right) \,.~
\end{eqnarray}

\item  Moyal $\star $ product and trace: 
\begin{eqnarray}
&&\star =\exp \left( {\frac{1}{2}}\overleftarrow{\partial _{\xi }}\sigma 
\overrightarrow{\partial _{\xi }}\right) =\exp \left( {\frac{i\theta }{2}}%
\left( \overleftarrow{\partial _{x_{e}}}\overrightarrow{\partial _{p_{e}}}-%
\overleftarrow{\partial _{p_{e}}}\overrightarrow{\partial _{x_{e}}}\right)
\right) \,,\quad \sigma =i\theta \left( 
\begin{array}{cc}
0 & 1 \\ 
-1 & 0
\end{array}
\right) \,,  \label{eq:Moyal_star_matter} \\
&&\mathrm{Tr}\,A(\bar{x},\xi )=|\det (2\pi \sigma )|^{-{\frac{d}{2}}}\int
dx_{e}dp_{e}A(\bar{x},\xi )=(2\pi \theta )^{-Nd}\int dx_{e}dp_{e}A(\bar{x}%
,\xi )\,.
\end{eqnarray}
The normalization of a field $A$ in Moyal space coincides with the
normalization of its image in Fock space (\ref{eq:MSFTfield_matter}) 
\begin{equation}
\langle \Psi |\Psi \rangle =\int d^{d}\bar{x}\,\mathrm{Tr}\left( A^{\dagger
}(\bar{x},\xi )\star A(\bar{x},\xi )\right) \,.
\end{equation}

\item  Oscillators as differential operators in Moyal space 
\begin{eqnarray}
&&\langle \bar{x},x_{e},p_{e}|\alpha _{0}|\Psi \rangle =-il_{s}\frac{%
\partial }{\partial \bar{x}}\langle \bar{x},x_{e},p_{e}|\Psi \rangle =:\beta
_{0}\langle \bar{x},x_{e},p_{e}|\Psi \rangle \,,  \notag \\
&&\langle \bar{x},x_{e},p_{e}|\alpha _{e}|\Psi \rangle =\left( \bar{\beta}%
_{e}^{x}-\frac{w_{e}}{\sqrt{2}}\beta _{0}\right) \langle \bar{x}%
,x_{e},p_{e}|\Psi \rangle =\left( \bar{\beta}_{e}^{x}-w_{e}^{\prime }\beta
_{0}\right) \langle \bar{x},x_{e},p_{e}|\Psi \rangle  \notag \\
&&\qquad \qquad =\beta _{e}^{x}\langle \bar{x},x_{e},p_{e}|\Psi \rangle \,, 
\notag \\
&&\langle \bar{x},x_{e},p_{e}|\alpha _{o}|\Psi \rangle =:\beta
_{o}^{p}\langle \bar{x},x_{e},p_{e}|\Psi \rangle =\sum_{e\neq 0}\bar{\beta}%
_{e}^{p}\langle \bar{x},x_{e},p_{e}|\Psi \rangle U_{-e,o}\,,  \notag \\
&&\beta _{o}^{p}=\sum_{e>0}\frac{1}{\sqrt{2}}\left( \epsilon (o)\frac{\theta
\kappa _{|o|}}{2l_{s}}R_{|o|e}\frac{\partial }{\partial p_{e}}+\frac{2l_{s}}{%
\theta }p_{e}T_{e|o|}\right) =\sum_{e\neq 0}\bar{\beta}_{e}^{p}U_{-e,o}\,, 
\notag \\
&&\bar{\beta}_{e}^{x}=-\frac{i}{\sqrt{2}}\left( \epsilon (e)\frac{\kappa
_{|e|}}{l_{s}}x_{|e|}+l_{s}\frac{\partial }{\partial x_{|e|}}\right)
\,,\qquad \bar{\beta}_{e}^{p}=\frac{1}{\sqrt{2}}\left( \frac{\theta \kappa
_{|e|}}{2l_{s}}\epsilon (e)\frac{\partial }{\partial p_{|e|}}+\frac{2l_{s}}{%
\theta }p_{|e|}\right) \,.~~~~
\end{eqnarray}
These satisfy ordinary commutation relation: 
\begin{eqnarray}
&&[\bar{\beta}_{e}^{x},\bar{\beta}_{e^{\prime }}^{x}]=\epsilon (e)\kappa
_{|e|}\delta _{e+e^{\prime }}\,,\quad \lbrack \bar{\beta}_{e}^{p},\bar{\beta}%
_{e^{\prime }}^{p}]=\epsilon (e)\kappa _{|e|}\delta _{e+e^{\prime }}\,,\quad
\lbrack \bar{\beta}_{e}^{x},\bar{\beta}_{e^{\prime }}^{p}]=0\,,  \notag \\
&&[\beta _{e}^{x},\beta _{e^{\prime }}^{x}]=\epsilon (e)\kappa _{|e|}\delta
_{e+e^{\prime }}\,,\quad \lbrack \beta _{o}^{p},\beta _{o^{\prime
}}^{p}]=\epsilon (o)\kappa _{|o|}\delta _{o+o^{\prime }}\,,\quad \lbrack
\beta _{e}^{x},\beta _{o^{\prime }}^{p}]=0\,.
\end{eqnarray}

\item  Oscillators as fields in Moyal space\footnote{%
The convention for $\beta _{n}$ here is the same as \cite{BKM2} $\beta _{n}^{%
\mathrm{BKM}}=\beta _{n},$ but differs by a factor from the convention in 
\cite{BM2} $\beta _{n}^{\mathrm{BM}}=\sqrt{\frac{\kappa _{|n|}}{2}}\beta
_{n} $.} 
\begin{eqnarray}
&&\bar{\beta}_{e}^{x}A=\sqrt{\frac{\kappa _{|e|}}{2}}\left( \beta _{e}\star
A-A\star \beta _{-e}\right) \,,\quad \bar{\beta}_{e}^{p}A=\sqrt{\frac{\kappa
_{|e|}}{2}}\left( \beta _{e}\star A+A\star \beta _{-e}\right) \,,  \notag \\
&&\beta _{e}:=\frac{1}{\sqrt{\kappa _{|e|}}}\left( -\frac{i}{2l_{s}}\epsilon
(e)\kappa _{|e|}x_{|e|}+\frac{l_{s}}{\theta }p_{|e|}\right) \,,  \notag \\
&&[\beta _{e},\beta _{e^{\prime }}]_{\star }=\epsilon (e)\delta
_{e+e^{\prime }}\,.
\end{eqnarray}
We can also define odd mode fields through a Bogoliubov transformation 
\begin{equation}
\beta _{o}:=\sum_{e\neq 0}\beta _{e}U_{-e,o}\,.
\end{equation}
The following relations hold 
\begin{eqnarray}
&&\beta _{o}^{p}A=\sqrt{\frac{\kappa _{|o|}}{2}}\left( \beta _{o}\star
A+A\star \beta _{-o}\right) \,,  \notag \\
&&[\beta _{o},\beta _{o^{\prime }}]_{\star }=\epsilon (o)\delta
_{o+o^{\prime }}\,,\qquad \lbrack \beta _{-e},\beta _{o}]_{\star }=-\epsilon
(e)U_{-e,o}\,.
\end{eqnarray}
\end{itemize}

\subsubsection{Butterfly projector}

The momentum independent butterfly state $A_{B}(\xi )$ satisfies 
\begin{equation}
\beta _{e}\star A_{B}=A_{B}\star \beta _{-e}=0\,,\qquad \forall e>0\,.
\label{eq:matter_butterfly}
\end{equation}
There is a unique solution in monoid 
\begin{equation}
A_{B}(\xi )=2^{dN}\exp \left( -\sum_{e>0}\left( \frac{1}{2l_{s}^{2}}\bar{x}%
_{e}\kappa _{e}x_{e}+\frac{2l_{s}^{2}}{\theta ^{2}}\bar{p}_{e}{\frac{1}{%
\kappa _{e}}}p_{e}\right) \right)\,.
\end{equation}
It satisfies 
\begin{equation}
A_{B}\star A_{B}=A_{B},\quad Tr\left( A_{B}\right) =1.
\end{equation}

In ordinary oscillator language, Eq.(\ref{eq:matter_butterfly}) means 
\begin{equation}
\alpha _{e}|\Psi _{B}\rangle =0\,,\quad \sum_{o>0}\left( \alpha
_{o}U_{-o,e}^{-1}+\alpha _{-o}U_{o,e}^{-1}\right) |\Psi _{B}\rangle =0\,,
\qquad \forall e>0
\end{equation}
for zero momentum state. Now we take the ansatz 
\begin{equation}
|\Psi _{B}\rangle =\mathcal{N}\exp \left( -{\frac{1}{2}}\sum_{m,n\geq
1}a_{m}^{\dagger }V_{mn}^{B}a_{n}^{\dagger }\right) |\Omega \rangle
\end{equation}
which corresponds to a monoid element in MSFT. 
Then we have constraints for $V_{mn}^{B}$ : 
\begin{equation}
\sum_{o^{\prime }>0}V_{oo^{\prime }}^{B}\sqrt{\kappa _{o^{\prime }}}%
U_{-o^{\prime },e}^{-1}=\sqrt{\kappa _{o}}U_{o,e}^{-1}\,,\quad
o,e>0\,,\qquad V_{eo}^{B}=V_{oe}^{B}=V_{ee^{\prime }}^{B}=0\,.
\label{eq:butterfly_VB}
\end{equation}
At the open string limit $\kappa _{e}=e,\kappa _{o}=o,N=\infty $, we can
show that the matrix $V_{mn}^{B}$ which was obtained in \cite{Gaiotto:2002kf}
: 
\begin{equation}
V_{mn}^{B}=\left\{ 
\begin{array}{cl}
-(-1)^{\frac{m+n}{2}}\frac{\sqrt{mn}}{m+n}\frac{\Gamma \lbrack \frac{m}{2}%
]\Gamma \lbrack \frac{n}{2}]}{\pi \Gamma \lbrack \frac{m+1}{2}]\Gamma
\lbrack \frac{n+1}{2}]} & \mathrm{for}\;m\;\mathrm{and}\;n\;\mathrm{odd} \\ 
0 & \mathrm{for}\;m\;\mathrm{or}\;n\;\mathrm{even}
\end{array}
\right.
\end{equation}
satisfies Eq.(\ref{eq:butterfly_VB}). Namely, we have obtained the
correspondence: 
\begin{equation}
A_{B}\quad \leftrightarrow \quad |\Psi _{B}\rangle =\exp \left( -{\frac{1}{2}%
}L_{-2}\right) |\Omega \rangle \,,\quad \mathrm{for}\quad \kappa
_{e}=e,\kappa _{o}=o,N=\infty \,.
\end{equation}

\subsubsection{$L_0$ and $\mathcal{L}_0$ \label{sec:L0L0matter}}

In MSFT $L_{0}$ in matter sector is defined as 
\begin{eqnarray}
L_{0} &=&{\frac{1}{2}}\beta _{0}^{2}+\sum_{e>0}\beta _{-e}^{x}\beta
_{e}^{x}+\sum_{o>0}\beta _{-o}^{p}\beta _{o}^{p}  \notag \\
&=&{\frac{1}{2}}(1+\bar{w}w)\beta _{0}^{2}+\beta _{0}\sum_{e>0}il_{s}w_{e}{%
\frac{\partial }{\partial x_{e}}}-\frac{d}{2}\sum_{n>0}\kappa _{n}  \notag \\
&&+\sum_{e>0}\left( -\frac{l_{s}^{2}}{2}{\frac{\partial ^{2}}{\partial
x_{e}^{2}}}-\frac{\theta ^{2}}{8l_{s}^{2}}\kappa _{e}^{2}\frac{\partial ^{2}%
}{\partial p_{e}^{2}}+\frac{1}{2l_{s}^{2}}\kappa _{e}^{2}x_{e}^{2}+\frac{%
2l_{s}^{2}}{\theta ^{2}}p_{e}^{2}\right) -\frac{1}{1+\bar{w}w}\frac{%
2l_{s}^{2}}{\theta ^{2}}\left( \sum_{e>0}w_{e}p_{e}\right) ^{2}\,.~~
\label{eq:L0_matter}
\end{eqnarray}
The operator $L_{0}$ can be rewritten in terms of a field $\mathcal{L}_{0}$
using Moyal star product, plus a remnant $\gamma $ called the ``midpoint
correction term'' \cite{BKM2}, which is multiplied with an ordinary product 
\begin{eqnarray}
&&L_{0}A_{\beta _{0}}=\mathcal{L}_{0}(\beta _{0})\star A_{\beta
_{0}}+A_{\beta _{0}}\star \mathcal{L}_{0}(-\beta _{0})+\gamma A_{\beta
_{0}}\,,   \\
&&\mathcal{L}_{0}(\beta _{0}):=\sum_{e>0}\left( \frac{l_{s}^{2}}{\theta ^{2}}%
p_{e}^{2}+\frac{\kappa _{e}^{2}}{4l_{s}^{2}}x_{e}^{2}-\frac{l_{s}}{\theta }%
w_{e}p_{e}\beta _{0}\right) +\frac{1}{4}(1+\bar{w}w)\beta _{0}^{2}-\frac{d}{4%
}\sum_{n>0}\kappa _{n}\,,   \\
&&\gamma =-\frac{1}{1+\bar{w}w}\frac{2l_{s}^{2}}{\theta ^{2}}\left(
\sum_{e>0}w_{e}p_{e}\right) ^{2}\,.
\end{eqnarray}
The $\gamma $ term \textit{formally} goes to zero as $\kappa
_{n}=n,N\rightarrow \infty $, since $\bar{w}w\rightarrow \infty .$ However,
this is not true in computations due to contributions of the form $\infty
/\infty $ that are related to the associativity anomaly. In fact, $\gamma $
is indispensable to reproduce the correct spectrum of $L_{0}$ \cite{BM2}\cite
{BKM1}. The $\gamma $ term depends only on one special momentum mode $\hat{p}%
=\left( 1+\bar{w}w\right) ^{-1/2}\sum_{e>0}w_{e}p_{e}$ which we call the
anomalous midpoint momentum mode \cite{BM2}\cite{B2}. We can rewrite $%
\mathcal{L}_{0}$ in terms of oscillators 
\begin{equation}
\mathcal{L}_{0}(\beta _{0})=\sum_{e>0}\kappa _{e}\beta _{-e}\star \beta _{e}+%
\frac{d}{4}\left( \sum_{e>0}\kappa _{e}-\sum_{o>0}\kappa _{o}\right) +{\frac{%
1}{4}}(1+\bar{w}w)\beta _{0}^{2}-{\frac{l_{s}}{\theta }}\left( \bar{w}%
_{e}p_{e}\right) \beta _{0}\,,
\end{equation}
and then, acting on the butterfly projector (\ref{eq:matter_butterfly}), we
have 
\begin{equation}
L_{0}A_{B}=\gamma A_{B}\,.
\end{equation}

\subsubsection{$n$-string vertex and Neumann coefficients 
\label{sec:Neumann-matter}}

Here we give brief review of the correspondence of $n$-string vertex and
Neumann coefficients in MSFT. We note the properties of the momentum state
and coherent states in Fock space, together with the corresponding Moyal
images.

\begin{itemize}
\item  Momentum eigenstate (zero mode part): 
\begin{eqnarray}
&&|p_{0}\rangle =\left( 2\pi bl_{s}^{2}\right) ^{\frac{d}{4}}e^{-{\frac{1}{2}%
}\hat{a}_{0}^{\dagger 2}+\sqrt{b}l_{s}\hat{a}_{0}^{\dagger }p_{0}-{\frac{%
bl_{s}^{2}}{4}}p_{0}^{2}}|0\rangle \,,  \notag \\
&&\langle p_{0}|=\langle 0|e^{-{\frac{1}{2}}\hat{a}_{0}^{2}+\sqrt{b}l_{s}%
\hat{a}_{0}p_{0}-{\frac{bl_{s}^{2}}{4}}p_{0}^{2}}\left( 2\pi
bl_{s}^{2}\right) ^{\frac{d}{4}}\,,  \notag \\
&&\langle p_{0}|p_{0}^{\prime }\rangle =(2\pi )^{d}\delta
^{d}(p_{0}-p_{0}^{\prime })\,,  \notag \\
&&\langle p_{0}|x_{0}\rangle =e^{-ip_{0}x_{0}},\quad \langle
x_{0}|p_{0}\rangle =e^{ip_{0}x_{0}}.
\end{eqnarray}

\item  Coherent state :\footnote{%
Here we introduce the \textit{bra} coherent state. This is a different
convention from that in \cite{BM2}.} 
\begin{eqnarray}
&&\langle \Psi |\hat{a}^{\dagger }=\langle \Psi |\mu ^{\ast }\,,~~~\langle
\Psi |=\langle p|e^{\mu ^{\ast }\hat{a}}\,,  \notag \\
&&{}_{2}\langle \Psi |V_{2}\rangle _{12}=e^{-\mu ^{\ast }C\hat{a}^{\dagger
(1)}}|-p\rangle _{1}=:|\tilde{\Psi}\rangle _{1}\,,  \notag \\
&&\tilde{A}:=\langle \bar{x},x_{e},p_{e}|\tilde{\Psi}\rangle =2^{Nd}(1+\bar{w%
}w)^{-{\frac{d}{8}}}e^{-i\bar{x}p}e^{{\frac{1}{2}}\mu _{e}^{\ast 2}-{\frac{1%
}{2}}\mu _{o}^{\ast 2}-\bar{\xi}M_{0}\xi -\bar{\xi}\lambda}\,,\qquad 
\notag \\
&&\lambda =\left( 
\begin{array}{c}
{\frac{i\sqrt{2}}{l_{s}}}\kappa _{e}^{\frac{1}{2}}\mu _{e}^{\ast }+ipw_{e}
\\ 
-{\frac{2\sqrt{2}l_{s}}{\theta }}T\kappa _{o}^{-{\frac{1}{2}}}\mu _{o}^{\ast
}
\end{array}
\right) =2K^{\ast }(\mu ^{\ast }+Wp)\,,  \notag \\
&&K^{\ast }=\left( 
\begin{array}{cc}
{\frac{i}{l_{s}}}\sqrt{\frac{\kappa _{e}}{2}} & 0 \\ 
0 & -{\frac{l_{s}}{\theta }}T\sqrt{\frac{2}{\kappa _{o}}}
\end{array}
\right) \,,\quad W=\left( 
\begin{array}{c}
{\frac{l_{s}}{\sqrt{2\kappa _{e}}}}w \\ 
0
\end{array}
\right) \,,
\end{eqnarray}
where we used the reflector 
\begin{eqnarray}
\langle V_{2}| &=&\int \frac{d^{d}p^{(1)}}{(2\pi )^{d}}\frac{d^{d}p^{(2)}}{%
(2\pi )^{d}}\,\langle 0,p^{(1)}|
\langle 0,p^{(2)}|e^{-\sum_{n\geq 1}(-1)^{n}
\hat{a}_{n}^{(1)}\hat{a}_{n}^{(2)}}(2\pi
)^{d}\delta ^{d}(p^{(1)}+p^{(2)})\,,  \notag \\
|V_{2}\rangle &=&\int \frac{d^{d}p^{(1)}}{(2\pi )^{d}}\frac{d^{d}p^{(2)}}{%
(2\pi )^{d}}(2\pi )^{d}\delta ^{d}(p^{(1)}+p^{(2)})e^{-\sum_{n\geq 1}(-1)^{n}%
\hat{a}_{n}^{\dagger (1)}\hat{a}_{n}^{\dagger (2)}}|0,p^{(1)}\rangle
|0,p^{(2)}\rangle\,.~~~~
\end{eqnarray}
In particular we have the bra-ket correspondence for eigenstates of $x_{n}$: 
\begin{equation}
{}_{12}\langle V_{2}|x_{0},x_{n}\rangle _{2}={}_{1}\langle
x_{0},(-1)^{n}x_{n}|\,.
\end{equation}

\item  Compute the $n$-string vertex for coherent states in terms of unknown
Neumann coefficients $V_{(n)}^{rs},V_{0(n)}^{rs},V_{00(n)}^{rs}$ 
\begin{eqnarray}
|V_{n}\rangle &=&\int \frac{d^{d}p^{(1)}}{(2\pi )^{d}}\cdots \frac{%
d^{d}p^{(n)}}{(2\pi )^{d}}(2\pi )^{d}\delta ^{d}(p^{(1)}+\cdots +p^{(n)}) 
\notag \\
&&\times\, e^{-{\frac{1}{2}}\hat{a}^{\dagger (r)}V_{(n)}^{rs}\hat{a}^{\dagger
(s)}-p^{(r)}V_{0(n)}^{rs}\hat{a}^{\dagger (s)}-{\frac{1}{2}}%
p^{(r)}V_{00(n)}^{rs}p^{(s)}}|p^{(i)}\rangle \,,   \\
\langle \Psi _{1}|\cdots \langle \Psi _{n}|V_{n}\rangle &=&(2\pi
)^{d}\delta ^{d}(p^{(1)}+\cdots +p^{(n)})  \notag \\
&&\times\, e^{-{\frac{1}{2}}\mu ^{(r)\ast }V_{(n)}^{rs}\mu ^{(s)\ast
}-p^{(r)}V_{0(n)}^{rs}\mu ^{(s)\ast }-{\frac{1}{2}}%
p^{(r)}V_{00(n)}^{rs}p^{(s)}}\,.
\end{eqnarray}

\item  Compute the trace of the Moyal images of $n$ coherent states in MSFT 
\begin{eqnarray}
&&\int d^{d}\bar{x}\mathrm{Tr}\left( \tilde{A}_{1}(\bar{x},\xi )\star 
\tilde{A}_{2}(\bar{x},\xi )\star \cdots \star \tilde{A}_{n}(\bar{x},\xi
)\right)  \notag \\
&&=(-1)^{\frac{Nd}{2}}\left( \det ((1+m_{0})^{n}-(1-m_{0})^{n})\right) ^{-{%
\frac{d}{2}}}2^{nNd}(1+\bar{w}w)^{-{\frac{nd}{8}}}  \notag \\
&&~~~\times (2\pi )^{d}\delta ^{d}(p^{(1)}+\cdots
+p^{(n)})\,e^{E^{(n)}}\,,\qquad   \\
&&E^{(n)}=-{\frac{1}{2}}\sum_{r,s}\mu ^{(r)\ast }C\left( 2K^{\ast -1}m_{0}%
\mathcal{O}_{(s-r)}(m_{0})K^{\ast }-\delta _{r,s}\right) \mu ^{(s)\ast } 
\notag \\
&&-2\sum_{r,s}p^{(r)}\bar{W}K^{\ast -1}m_{0}\mathcal{O}_{(s-r)}(m_{0})K^{%
\ast }\mu ^{(s)\ast }-{\frac{1}{2}}\sum_{r,s}p^{(r)}\left( 2\bar{W}K^{\ast
-1}m_{0}\mathcal{O}_{(s-r)}(m_{0})K^{\ast }W\right) p^{(s)}\,,  \notag \\
&&m_{0}:=M_{0}\sigma =\left( 
\begin{array}{cc}
0 & {\frac{i\theta }{2l_{s}^{2}}}\kappa _{e} \\ 
-{\frac{2il_{s}^{2}}{\theta }}T\kappa _{o}^{-1}\bar{T} & 0
\end{array}
\right)  \label{eq:m0matterdef}
\end{eqnarray}
where we used 
\begin{equation}
CK^{\ast -1}m_{0}=-\bar{K}^{\ast }\sigma \,,\quad CK^{\ast -1}m_{0}K^{\ast
}=-K^{\ast -1}m_{0}K^{\ast }C\,,\quad \mathcal{O}_{(s-r)}(m_{0})=-\mathcal{O}%
_{(r-s)}(-m_{0})\,.  \label{eq:rel_matterCK}
\end{equation}
We note 
\begin{equation}
\tilde{m}_{0}^{\ast }:=K^{\ast -1}m_{0}K^{\ast }=\left( 
